ID	Source
ACADL	DEGs
APC	DEGs
CYP7B1	DEGs
DHRSX	DEGs
ERO1A	DEGs
GYG2	DEGs
LARGE1	DEGs
LDLRAD4	DEGs
LOC782061	DEGs
MAN2B1	DEGs
ME2	DEGs
NAA15	DEGs
NAMPT	DEGs
NDUFAF1	DEGs
OSBPL5	DEGs
ST3GAL3	DEGs
STK11	DEGs
APCDD1	PPI
BTBD1	PPI
DVL2	PPI
EPS15	PPI
FBXW2	PPI
ITSN1	PPI
LMO7	PPI
NEDD4L	PPI
SMURF1	PPI
STAM	PPI
AGL	WGCNA
ALG12	WGCNA
B3GALT1	WGCNA
GPX4	WGCNA
IGF1	WGCNA
MTRR	WGCNA
PCBP2	WGCNA
PER2	WGCNA
POMK	WGCNA
RHOBTB1	WGCNA
RREB1	WGCNA
SHC1	WGCNA
TAOK3	WGCNA
ABCA3	WGCNA+DEGs
