ID	SRR6809900	SRR6809901	SRR6809902	SRR6809903	SRR6809911	SRR6809933	SRR6809935	SRR6809940	SRR6809944	SRR6809945	SRR6809899	SRR6809905	SRR6809908	SRR6809909	SRR6809912	SRR6809936	SRR6809941	SRR6809942
ABCA3	4.043789507	6.644726069	6.219062079	3.879680555	5.250701015	5.254428432	4.534768138	4.628973866	5.31182852	3.516601256	2.525222152	5.097247107	4.130290505	4.979529049	3.2285268	3.194379406	3.864258636	3.914638637
ACADL	2.597500427	2.280050212	7.599103302	2.529810324	2.479445322	3.369867742	3.309262535	3.632418793	3.583466729	3.246263013	2.634227573	2.710597741	2.761132591	2.567093495	2.475778363	3.082874935	2.825632383	2.670689247
AGL	4.94914698	4.998484893	4.848259801	6.890804542	4.332752524	4.057803272	4.631866167	4.021817523	5.418723358	5.73345817	4.394187556	3.502633517	6.05997607	6.964135346	4.760362029	4.33242515	4.463285314	5.582580101
ALG12	3.562566907	5.363790668	5.033592292	3.626426575	5.355886885	1.956114946	2.036323748	3.562316929	2.453369043	3.339831885	3.236958435	3.616550117	5.127350362	3.562622819	3.418716789	3.341081512	3.310575826	4.087893895
APC	2.959670904	0.942719724	2.177713493	0.577152336	1.800570382	1.189338293	0.979193078	1.48383932	0.99528467	1.101626211	1.48358872	0.490430194	0.554793805	1.089578617	0.739754164	2.813358878	1.283895639	0.838274822
APCDD1	5.055434173	6.506486154	5.570170226	6.197128921	6.276451336	4.551532472	4.656794845	4.663744333	5.272709178	4.5893426	2.944871434	4.37015761	6.221439371	4.928568487	5.174114339	5.255906236	4.916574572	4.981286032
B3GALT1	5.456451678	5.955549417	6.046233561	5.913201178	5.808531394	2.978533756	2.834545756	2.936636988	3.074197422	5.359694674	3.263197125	3.514795271	3.104590486	5.082919694	6.419204407	3.176383886	2.985173613	5.405995448
BTBD1	1.064060803	1.754492982	3.515440925	1.656633408	2.033876331	1.486480551	4.605983645	1.665059756	2.009427332	2.840737792	2.424350788	2.473135668	2.318655909	1.326456676	2.201942037	1.560057179	2.83154091	1.357050019
CYP7B1	4.892991644	6.475333883	4.554137762	4.81417097	4.823242034	5.305393551	9.341370473	8.161103488	4.92939206	5.491606843	5.081131131	5.039061459	4.338586623	4.94493755	4.990150752	4.910557137	5.027113599	5.022989116
DHRSX	3.995670235	3.822184783	4.572489871	4.544188731	4.566918846	5.129903118	4.681554822	3.52477539	4.924071857	3.948282554	3.897072083	4.566043257	3.196353522	3.833340682	3.627287512	4.039449656	4.384321548	4.310301149
DVL2	-0.42303027	-0.265865658	0.631497661	-0.400678862	-0.438332128	0.304238907	0.108669613	0.420052106	0.695887253	0.417813464	1.074654228	0.440056579	0.970244853	1.14782594	1.479918408	0.715176977	1.018737202	0.983902387
EPS15	0.671542246	0.426750122	0.351454073	2.048941091	0.644571971	1.848264686	2.265556348	0.768606142	0.505078813	0.61902812	0.336923144	0.585883381	0.976374225	0.641969789	1.45967252	0.616058398	1.557342632	1.485703648
ERO1A	3.611833561	4.45821963	3.54152207	7.381595635	3.509812451	4.179691157	5.710817198	3.722388652	5.550222526	4.713789409	3.5305842	4.034311347	4.141786188	4.152109166	4.337902844	4.188216253	4.09200588	4.141788582
FBXW2	4.650196449	4.519515685	4.852175678	3.292685542	4.033314808	3.827908216	3.921929408	5.2670292	4.011508773	4.191941853	3.776285883	3.925785442	3.541090802	6.407204609	4.894461486	3.910818013	5.436795464	5.499674646
